Result,Address A,Size A,Address B,Size B
Switch,FFF6h,1h,FFFDh,1h
Switch,FFF7h,1h,FFFCh,1h
Switch,FFFCh,1h,FFF7h,1h
Switch,FFFDh,1h,FFF6h,1h
