Result,Address A,Size A,Address B,Size B
Match,49D3h,Eh,49D3h,Eh
Difference,49E1h,1h,49E1h,1h
Match,49E2h,16h,49E2h,16h
Difference,49F8h,2h,49F8h,2h
Match,49FAh,77h,49FAh,77h
Difference,4A71h,1h,4A71h,1h
Match,4A72h,19h,4A72h,19h
Difference,4A8Bh,1h,4A8Bh,1h
Match,4A8Ch,32h,4A8Ch,32h
Difference,4ABEh,2h,4ABEh,2h
Match,4AC0h,15h,4AC0h,15h
Difference,4AD5h,2h,4AD5h,2h
Match,4AD7h,15h,4AD7h,15h
Difference,4AECh,2h,4AECh,2h
Match,4AEEh,159h,4AEEh,159h
Difference,4C47h,1h,4C47h,1h
Match,4C48h,4Ch,4C48h,4Ch
Difference,4C94h,1h,4C94h,1h
Match,4C95h,4Ch,4C95h,4Ch
Difference,4CE1h,1h,4CE1h,1h
Match,4CE2h,4Ch,4CE2h,4Ch
Difference,4D2Eh,1h,4D2Eh,1h
Match,4D2Fh,4Ch,4D2Fh,4Ch
Difference,4D7Bh,1h,4D7Bh,1h
Match,4D7Ch,4Ch,4D7Ch,4Ch
Difference,4DC8h,1h,4DC8h,1h
Match,4DC9h,4Ch,4DC9h,4Ch
Difference,4E15h,1h,4E15h,1h
Match,4E16h,4Ch,4E16h,4Ch
Difference,4E62h,1h,4E62h,1h
Match,4E63h,4Ch,4E63h,4Ch
Difference,4EAFh,1h,4EAFh,1h
Match,4EB0h,4Ch,4EB0h,4Ch
Difference,4EFCh,1h,4EFCh,1h
Match,4EFDh,4Ch,4EFDh,4Ch
Difference,4F49h,1h,4F49h,1h
Match,4F4Ah,76h,4F4Ah,76h
Difference,4FC0h,1h,4FC0h,1h
Match,4FC1h,4Ch,4FC1h,4Ch
Difference,500Dh,1h,500Dh,1h
Match,500Eh,4Ch,500Eh,4Ch
Difference,505Ah,1h,505Ah,1h
Match,505Bh,4Ch,505Bh,4Ch
Difference,50A7h,1h,50A7h,1h
Match,50A8h,4Ch,50A8h,4Ch
Difference,50F4h,1h,50F4h,1h
Match,50F5h,4Ch,50F5h,4Ch
Difference,5141h,1h,5141h,1h
Match,5142h,4Ch,5142h,4Ch
Difference,518Eh,1h,518Eh,1h
Match,518Fh,4Ch,518Fh,4Ch
Difference,51DBh,1h,51DBh,1h
Match,51DCh,4Ch,51DCh,4Ch
Difference,5228h,1h,5228h,1h
Match,5229h,4Ch,5229h,4Ch
Difference,5275h,1h,5275h,1h
Match,5276h,4Ch,5276h,4Ch
Difference,52C2h,1h,52C2h,1h
Match,52C3h,4Ch,52C3h,4Ch
Difference,530Fh,1h,530Fh,1h
Match,5310h,4Ch,5310h,4Ch
Difference,535Ch,1h,535Ch,1h
Match,535Dh,4Ch,535Dh,4Ch
Difference,53A9h,1h,53A9h,1h
Match,53AAh,4Ch,53AAh,4Ch
Difference,53F6h,1h,53F6h,1h
Match,53F7h,76h,53F7h,76h
Difference,546Dh,1h,546Dh,1h
Match,546Eh,4Ch,546Eh,4Ch
Difference,54BAh,1h,54BAh,1h
Match,54BBh,4Ch,54BBh,4Ch
Difference,5507h,1h,5507h,1h
Match,5508h,4Ch,5508h,4Ch
Difference,5554h,1h,5554h,1h
Match,5555h,4Ch,5555h,4Ch
Difference,55A1h,1h,55A1h,1h
Match,55A2h,4Ch,55A2h,4Ch
Difference,55EEh,1h,55EEh,1h
Match,55EFh,4Ch,55EFh,4Ch
Difference,563Bh,1h,563Bh,1h
Match,563Ch,4Ch,563Ch,4Ch
Difference,5688h,1h,5688h,1h
Match,5689h,4Ch,5689h,4Ch
Difference,56D5h,1h,56D5h,1h
Match,56D6h,4Ch,56D6h,4Ch
Difference,5722h,1h,5722h,1h
Match,5723h,4Ch,5723h,4Ch
Difference,576Fh,1h,576Fh,1h
Match,5770h,4Ch,5770h,4Ch
Difference,57BCh,1h,57BCh,1h
Match,57BDh,4Ch,57BDh,4Ch
Difference,5809h,1h,5809h,1h
Match,580Ah,4Ch,580Ah,4Ch
Difference,5856h,1h,5856h,1h
Match,5857h,4Ch,5857h,4Ch
Difference,58A3h,1h,58A3h,1h
Match,58A4h,76h,58A4h,76h
Difference,591Ah,1h,591Ah,1h
Match,591Bh,4Ch,591Bh,4Ch
Difference,5967h,1h,5967h,1h
Match,5968h,4Ch,5968h,4Ch
Difference,59B4h,1h,59B4h,1h
Match,59B5h,4Ch,59B5h,4Ch
Difference,5A01h,1h,5A01h,1h
Match,5A02h,4Ch,5A02h,4Ch
Difference,5A4Eh,1h,5A4Eh,1h
Match,5A4Fh,4Ch,5A4Fh,4Ch
Difference,5A9Bh,1h,5A9Bh,1h
Match,5A9Ch,4Ch,5A9Ch,4Ch
Difference,5AE8h,1h,5AE8h,1h
Match,5AE9h,4Ch,5AE9h,4Ch
Difference,5B35h,1h,5B35h,1h
Match,5B36h,4Ch,5B36h,4Ch
Difference,5B82h,1h,5B82h,1h
Match,5B83h,4Ch,5B83h,4Ch
Difference,5BCFh,1h,5BCFh,1h
Match,5BD0h,4Ch,5BD0h,4Ch
Difference,5C1Ch,1h,5C1Ch,1h
Match,5C1Dh,4Ch,5C1Dh,4Ch
Difference,5C69h,1h,5C69h,1h
Match,5C6Ah,4Ch,5C6Ah,4Ch
Difference,5CB6h,1h,5CB6h,1h
Match,5CB7h,4Ch,5CB7h,4Ch
Difference,5D03h,1h,5D03h,1h
Match,5D04h,4Ch,5D04h,4Ch
Difference,5D50h,1h,5D50h,1h
Match,5D51h,76h,5D51h,76h
Difference,5DC7h,1h,5DC7h,1h
Match,5DC8h,4Ch,5DC8h,4Ch
Difference,5E14h,1h,5E14h,1h
Match,5E15h,4Ch,5E15h,4Ch
Difference,5E61h,1h,5E61h,1h
Match,5E62h,4Ch,5E62h,4Ch
